t,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),|F|
2.4256,3.50182,-5.69486,171.13811,-3.25223,3.41419,0.58778,171.26864
2.4471,3.17648,-6.09599,171.0864,-3.26276,3.39187,0.59079,171.22443
2.4689,3.25764,-6.10348,171.23766,-3.25295,3.38349,0.59639,171.37736
2.4976,3.05773,-5.98063,171.01564,-3.25163,3.37712,0.58711,171.1475
2.5188,3.22385,-6.14271,171.1628,-3.25393,3.3718,0.58876,171.30332
2.5425,3.03117,-6.22445,171.3728,-3.26225,3.36677,0.59225,171.51259
2.564,3.15395,-5.92113,171.22232,-3.25173,3.35587,0.58968,171.3537
2.5855,3.08706,-6.1568,171.31342,-3.24831,3.35355,0.59237,171.45181
2.6078,3.20801,-5.89251,171.04028,-3.24081,3.35532,0.59382,171.17182
2.6287,3.19059,-6.17698,171.03447,-3.24687,3.35554,0.59632,171.17571
2.6499,3.17899,-6.3335,171.27843,-3.25768,3.36166,0.60172,171.42497
2.6741,3.12936,-6.14609,171.18661,-3.25609,3.35806,0.59485,171.32549
2.6988,3.03968,-5.9145,170.96121,-3.25007,3.34887,0.59821,171.09049
2.7195,3.15731,-6.25337,170.94809,-3.24544,3.35399,0.59889,171.09156
2.7403,2.9711,-6.4821,171.15407,-3.25915,3.36194,0.60231,171.30254
2.7612,3.00603,-6.06,171.38412,-3.25627,3.36324,0.59915,171.51757
2.7834,3.19865,-6.35158,171.05426,-3.26257,3.36343,0.60523,171.20203
2.8088,3.11226,-6.06288,171.18942,-3.24141,3.36703,0.59092,171.32502
2.8296,3.08245,-6.37975,171.14162,-3.25058,3.37556,0.59841,171.28822
2.8509,3.03066,-6.28688,171.17882,-3.25363,3.38437,0.60082,171.32104
2.8715,3.13413,-6.24747,170.9847,-3.25258,3.37892,0.60132,171.1275
2.8922,2.98165,-5.88577,171.37318,-3.25169,3.38873,0.59589,171.50015
2.9129,3.27379,-6.2514,170.84563,-3.25373,3.38696,0.59832,170.9913
2.9336,3.11683,-6.10453,171.05209,-3.25184,3.39337,0.59574,171.18936
2.9549,3.29327,-6.21777,170.714,-3.24979,3.39117,0.60445,170.85894
2.9765,3.14137,-6.2086,170.88376,-3.26166,3.38931,0.60102,171.02536
3.0029,3.41262,-6.2201,170.90184,-3.25464,3.39311,0.6098,171.04904
3.0238,3.03083,-6.09085,170.89651,-3.25101,3.39639,0.59863,171.03188
3.0446,3.04299,-6.15483,170.94794,-3.24652,3.40318,0.60198,171.08576
3.0658,3.24112,-5.88751,170.90782,-3.24924,3.40163,0.60265,171.03991
3.0865,3.36112,-6.09652,171.022,-3.25568,3.38924,0.60519,171.16364
3.1092,3.22639,-6.10566,170.96553,-3.24895,3.397,0.60641,171.10494
3.1324,3.1529,-5.94683,171.08604,-3.24902,3.40619,0.60028,171.2184
3.1601,3.25212,-5.9444,171.01553,-3.25443,3.3976,0.59306,171.14971
3.182,3.38367,-6.13575,170.90338,-3.25054,3.39113,0.60083,171.04696
3.206,3.20543,-5.94212,171.17143,-3.25747,3.38954,0.59886,171.30453
3.227,3.08862,-5.94423,171.09624,-3.25351,3.39335,0.5942,171.22732
3.2493,3.20958,-5.99928,171.21849,-3.25905,3.3918,0.60292,171.35362
3.2705,3.218,-6.01696,171.08044,-3.2492,3.39239,0.59594,171.21646
3.2914,3.32348,-6.18713,170.91081,-3.25388,3.39185,0.59908,171.05506
3.3124,3.28823,-6.07076,170.89452,-3.25249,3.39382,0.60289,171.03392
3.3348,3.10055,-5.83429,171.1544,-3.25157,3.39389,0.5946,171.28188
3.3589,3.22689,-6.00031,171.09422,-3.25456,3.3821,0.59817,171.22982
3.3798,3.05803,-6.00131,171.24991,-3.25821,3.38704,0.59466,171.38232
3.4014,3.08243,-5.86224,171.16351,-3.25141,3.38675,0.59469,171.29161
3.4225,3.20656,-5.94964,171.1642,-3.25642,3.37991,0.59234,171.29759
3.4452,3.11337,-6.11301,171.26231,-3.25304,3.3751,0.60036,171.39966
3.4669,3.12969,-6.30853,171.19197,-3.25766,3.37896,0.59805,171.33675
3.491,3.16622,-6.259,171.21915,-3.2568,3.37767,0.60023,171.36276
3.512,3.16209,-6.25133,171.07478,-3.25561,3.37523,0.5923,171.21816
3.5332,3.22167,-6.14879,171.03282,-3.25654,3.38191,0.60451,171.17363
3.5543,3.19663,-6.14353,170.98141,-3.2575,3.37238,0.59919,171.12161
3.575,3.14937,-5.88721,170.98595,-3.24809,3.37461,0.59733,171.11625
3.5966,3.0956,-6.24017,171.25389,-3.24928,3.3859,0.60208,171.3955
3.6181,3.19426,-6.32013,171.08582,-3.24283,3.391,0.6082,171.23231
3.6402,3.2231,-6.20777,171.10312,-3.2604,3.40196,0.59692,171.24603
3.6644,3.29657,-5.98588,171.13783,-3.25303,3.4034,0.60051,171.27421
3.6852,3.37199,-5.86718,170.91373,-3.25717,3.38801,0.59624,171.04764
3.707,3.39112,-5.99659,170.67049,-3.26537,3.39857,0.59326,170.80947
3.7279,3.33515,-6.23932,171.10559,-3.27221,3.41386,0.5915,171.25179
3.7488,3.3386,-5.61337,171.04675,-3.26437,3.39299,0.59081,171.1714
3.771,3.11539,-5.99228,171.27666,-3.2611,3.37941,0.5934,171.40976
3.7938,2.88975,-6.33373,171.04663,-3.25463,3.37224,0.59549,171.18825
3.8168,3.04539,-6.16703,171.05911,-3.2445,3.36468,0.59332,171.19733
3.8385,3.00337,-6.2918,171.13284,-3.26016,3.35655,0.5958,171.2748
3.8595,2.95655,-6.30146,171.44923,-3.2618,3.36629,0.59854,171.59047
3.8802,2.99868,-6.08781,171.50114,-3.2504,3.36642,0.59104,171.63536
3.901,3.11824,-6.13812,171.14388,-3.25436,3.35804,0.59267,171.2823
3.9228,2.95443,-6.41062,171.19121,-3.25172,3.35598,0.59809,171.33667
3.9444,3.026,-6.25872,171.08479,-3.2555,3.35891,0.59367,171.22598
3.9696,3.01001,-6.22375,171.53035,-3.25454,3.35827,0.59585,171.66961
3.9907,3.07224,-6.00564,171.17982,-3.2537,3.3577,0.592,171.31269
4.0122,2.8878,-6.37854,171.19568,-3.25399,3.36299,0.59767,171.3388
4.0335,3.00283,-6.12215,171.2887,-3.25882,3.35713,0.58909,171.42437
4.0549,3.23677,-6.11149,171.14104,-3.26203,3.35526,0.59813,171.28071
4.0808,3.06671,-6.1366,171.23375,-3.2499,3.36086,0.59552,171.37112
4.1022,3.12855,-5.92799,171.53893,-3.24712,3.36134,0.59445,171.66983
4.123,3.12158,-5.85115,171.10896,-3.24112,3.35756,0.59428,171.23743
4.1446,3.20046,-5.86455,171.17387,-3.24781,3.35444,0.58512,171.30421
4.1658,3.15958,-5.9961,170.9572,-3.24189,3.35669,0.5922,171.0915
4.1875,3.05334,-5.8886,171.25813,-3.24855,3.36076,0.59068,171.38654
4.2092,3.10592,-6.09817,171.17836,-3.25006,3.35793,0.59658,171.31511
4.2303,2.95067,-6.14502,171.49017,-3.25681,3.36273,0.59276,171.6256
4.2534,3.09211,-5.92186,171.21425,-3.24371,3.363,0.59268,171.34453
4.2797,3.12145,-6.11718,171.04662,-3.24986,3.35788,0.58696,171.18443
4.3018,3.13219,-6.135,171.16592,-3.25513,3.35883,0.59428,171.30447
4.3269,3.0599,-6.43801,171.13411,-3.25635,3.35468,0.59505,171.2825
4.3491,3.16269,-5.94365,171.20482,-3.24916,3.35247,0.58942,171.33715
4.3708,3.0217,-6.4338,171.15341,-3.25745,3.35668,0.59175,171.30095
4.3915,2.98496,-6.0974,171.24821,-3.25401,3.35564,0.59134,171.38273
4.4141,3.17608,-6.13835,171.10936,-3.25762,3.35472,0.59838,171.24888
4.4377,3.0927,-6.07433,171.37262,-3.25381,3.34848,0.59125,171.50813
4.4598,3.13651,-6.03842,171.13312,-3.2555,3.34163,0.58916,171.26834
4.4818,3.04691,-6.42461,171.08815,-3.26882,3.34803,0.59372,171.23584
4.503,3.10142,-6.34303,171.24358,-3.25365,3.34589,0.59927,171.38908
4.5319,3.04566,-6.11118,171.08846,-3.26003,3.3529,0.58684,171.22465
4.5543,3.00873,-5.9666,171.19243,-3.24936,3.35865,0.58963,171.3228
4.5811,3.17957,-5.92353,171.07091,-3.24808,3.35705,0.59013,171.20296
4.6028,2.95325,-6.23457,171.14894,-3.25831,3.35533,0.58913,171.28792
4.6244,3.15542,-6.12301,171.23453,-3.26112,3.35895,0.59011,171.37302
4.6451,3.08447,-6.1385,171.00713,-3.25006,3.35192,0.59345,171.14506
4.667,3.03774,-6.25936,171.2876,-3.25842,3.34984,0.58918,171.42884
4.688,3.03568,-6.15725,171.08708,-3.24678,3.35652,0.58896,171.22475
4.7102,3.07033,-6.01712,171.14621,-3.24542,3.35562,0.58867,171.27947
4.7338,2.8779,-6.2764,171.1474,-3.25839,3.34968,0.5932,171.28663
4.7545,2.99299,-6.23628,171.25461,-3.26144,3.35524,0.59087,171.39425
4.7761,2.9981,-6.14684,171.1877,-3.24571,3.35261,0.59133,171.32425
4.7974,3.17382,-6.32142,171.28603,-3.25395,3.34892,0.59711,171.43202
4.8198,2.9816,-6.01311,171.35367,-3.25,3.35056,0.59499,171.48506
4.8406,3.06547,-6.16325,171.27122,-3.25327,3.34956,0.59192,171.4095
4.863,3.01438,-6.32916,171.05173,-3.25995,3.34614,0.59146,171.19532
4.8874,3.00374,-6.35158,171.13667,-3.2522,3.3506,0.59521,171.28084
4.9082,2.9818,-6.18232,171.38063,-3.24946,3.35328,0.59327,171.51802
4.9294,3.09538,-6.11011,170.79446,-3.25832,3.34574,0.59647,170.93175
4.9502,2.82956,-6.15067,171.28409,-3.25934,3.35473,0.59686,171.41784
4.9708,3.00254,-6.09138,171.3145,-3.25367,3.34102,0.58977,171.44905
4.992,2.83898,-6.37739,171.327,-3.25203,3.35592,0.59513,171.46915
5.0144,2.82216,-6.39323,171.04492,-3.25624,3.35109,0.5923,171.18763
5.0395,3.01147,-6.25949,171.12514,-3.26252,3.34764,0.59332,171.26606
5.0605,2.9932,-6.19507,171.18663,-3.25786,3.35274,0.5934,171.32484
5.0816,2.8942,-6.18278,171.38692,-3.25352,3.34891,0.58857,171.52282
5.1028,3.06053,-6.16221,171.08743,-3.24995,3.34606,0.59269,171.22573
5.1235,3.08588,-5.88158,171.24805,-3.25378,3.35178,0.58858,171.3768
5.1464,2.94155,-6.15165,171.1011,-3.24882,3.34665,0.5877,171.23692
5.1686,3.02419,-6.1334,171.0717,-3.25198,3.35616,0.58971,171.20833
5.1927,3.05348,-6.29308,171.2412,-3.25456,3.35106,0.59528,171.38399
5.2136,3.02936,-6.21639,170.9472,-3.25012,3.34682,0.58993,171.08702
5.2343,3.14309,-6.44051,171.1107,-3.26396,3.34355,0.5949,171.26071
5.2555,2.96167,-6.51674,171.11624,-3.25979,3.34845,0.59766,171.2659
5.2774,2.98554,-6.05926,171.03346,-3.24969,3.34891,0.59253,171.1668
5.2985,3.10663,-6.27326,171.19524,-3.25314,3.34523,0.59233,171.3383
5.3211,3.22489,-6.12495,171.02716,-3.25618,3.34725,0.59223,171.16718
5.3469,3.00887,-6.36762,171.14609,-3.24715,3.3449,0.59189,171.29093
5.3677,3.05761,-6.46689,170.98593,-3.2592,3.34814,0.60096,171.1355
5.3885,2.98738,-6.31461,171.4207,-3.25528,3.35013,0.5993,171.56298
5.4091,2.91982,-6.37663,171.27425,-3.26361,3.35009,0.59696,171.41778
5.4305,2.98733,-6.05257,171.06613,-3.2555,3.35271,0.59468,171.19924
5.4514,2.85873,-6.45692,171.16484,-3.25378,3.35131,0.5935,171.31044
5.474,3.24296,-6.43608,170.91539,-3.25276,3.34151,0.59643,171.06727
5.4982,3.07348,-6.19743,171.09544,-3.25317,3.34912,0.59438,171.23523
5.5189,3.18616,-6.26369,170.8373,-3.2519,3.34722,0.59434,170.98177
5.5399,3.11582,-6.09357,171.03352,-3.25054,3.34425,0.59332,171.1704
5.5618,2.98454,-6.16121,171.18687,-3.25281,3.34578,0.59073,171.32371
5.5841,3.12155,-6.3686,171.00966,-3.25897,3.34325,0.59621,171.15667
5.6099,2.80823,-6.3984,171.20428,-3.25131,3.35257,0.59624,171.34682
5.6306,3.14229,-6.70713,171.07051,-3.2564,3.34329,0.60305,171.23078
5.6534,2.98835,-6.15742,171.09352,-3.24894,3.34607,0.59048,171.23036
5.6777,3.03205,-6.24515,171.12581,-3.25729,3.34954,0.59474,171.26657
5.7017,3.02212,-6.30981,171.46608,-3.25168,3.35128,0.59639,171.60875
5.7224,3.02144,-6.3284,171.00259,-3.25368,3.34989,0.59007,171.14633
5.744,3.13862,-6.16799,171.11417,-3.25086,3.3506,0.59059,171.25406
5.7652,3.08294,-6.18644,171.17673,-3.24575,3.34651,0.5972,171.31622
5.7869,3.12544,-6.30001,171.27344,-3.25684,3.34781,0.59282,171.41776
5.8093,2.96918,-6.37797,170.91177,-3.24733,3.35013,0.59595,171.05651
5.8308,3.07009,-6.25622,171.27153,-3.255,3.34796,0.59127,171.41325
5.8542,3.00747,-6.26164,171.40657,-3.26575,3.34815,0.58842,171.54727
5.8749,2.9636,-5.94432,171.06107,-3.25387,3.35149,0.59396,171.18997
5.8965,3.03914,-6.05613,170.8217,-3.25067,3.3463,0.58979,170.95604
5.9177,2.89456,-6.29919,170.95203,-3.25152,3.34584,0.59107,171.09253
5.94,2.9869,-6.24056,171.18788,-3.25397,3.35389,0.59154,171.32763
5.9629,3.1644,-6.26746,171.27217,-3.25701,3.34489,0.59657,171.41602
5.9856,3.0408,-6.29387,170.93503,-3.24775,3.34858,0.59559,171.07789
6.0066,3.26979,-5.88338,171.04349,-3.2576,3.35197,0.59308,171.17588
6.0278,2.85301,-6.1098,171.0466,-3.24852,3.34793,0.59042,171.17946
6.0486,3.0207,-6.1574,171.16327,-3.25346,3.35038,0.59191,171.30062
6.0699,3.20685,-6.04406,170.89546,-3.25354,3.35213,0.5909,171.03238
6.091,2.99905,-6.25489,171.23737,-3.25221,3.34743,0.59504,171.37781
6.1126,2.99529,-6.1462,170.93536,-3.25311,3.34732,0.59149,171.07205
6.1355,2.97872,-5.95903,171.12491,-3.25246,3.35329,0.58695,171.25454
6.1597,3.18618,-6.29372,171.03157,-3.25811,3.33902,0.59425,171.17699
6.181,3.08731,-6.09625,171.39198,-3.25448,3.35018,0.59554,171.52815
6.2017,2.94097,-6.1911,171.19058,-3.2481,3.35052,0.59127,171.32774
6.2224,3.01597,-6.05151,171.05617,-3.25332,3.34717,0.59178,171.18975
6.2439,3.00159,-6.19233,171.0473,-3.25194,3.35079,0.58711,171.18567
6.2651,3.07741,-5.87976,171.1637,-3.24752,3.34796,0.59098,171.2923
6.2881,3.0334,-6.10301,171.05579,-3.25193,3.34868,0.59188,171.1915
6.3162,3.06554,-5.98535,171.32622,-3.24911,3.3546,0.58466,171.45814
6.3418,3.04956,-5.9586,171.13919,-3.24635,3.34622,0.59154,171.27004
6.3628,2.98328,-6.35507,171.30243,-3.25338,3.3545,0.59995,171.44623
6.3834,2.95262,-6.11716,170.86862,-3.25055,3.35143,0.59667,171.00358
6.4054,3.00156,-6.11292,171.38005,-3.25158,3.34588,0.5907,171.5153
6.4266,3.02576,-6.44328,171.06516,-3.25314,3.34607,0.59923,171.2132
6.4473,3.0651,-6.17617,171.24078,-3.24759,3.35924,0.59264,171.37954
6.4698,2.87376,-6.3668,171.3015,-3.26094,3.34646,0.59466,171.44386
6.4905,2.97269,-6.05943,171.08566,-3.25032,3.34924,0.5918,171.21874
6.5158,3.00729,-6.02104,171.35292,-3.25612,3.35128,0.58938,171.48504
6.537,3.0603,-6.52343,171.12883,-3.25556,3.34244,0.59899,171.28046
6.5585,3.02908,-6.12488,171.05017,-3.25163,3.34591,0.59154,171.1866
6.5798,2.96462,-6.09946,171.53522,-3.24562,3.3573,0.59196,171.66923
6.6007,3.07652,-6.05939,171.21193,-3.24257,3.35108,0.58994,171.34674
6.6235,3.18899,-6.15713,170.98137,-3.2541,3.34756,0.59471,171.12191
6.6473,3.03745,-6.15331,171.17427,-3.24988,3.34522,0.59565,171.31176
6.6682,2.87148,-6.151,171.20937,-3.25408,3.35181,0.59067,171.34389
6.6907,2.953,-6.29054,171.14049,-3.25566,3.35649,0.58815,171.28152
6.7117,2.84504,-6.40223,171.19977,-3.26387,3.34548,0.59355,171.34306
6.7325,3.19374,-6.00461,171.12592,-3.25146,3.3517,0.59122,171.26101
6.7532,2.90818,-6.3561,171.03642,-3.25819,3.35359,0.59397,171.17919
6.7753,3.05929,-6.25398,171.19183,-3.24732,3.34963,0.59641,171.33335
6.797,2.97177,-6.31503,171.36078,-3.25691,3.34871,0.59583,171.50285
6.8211,3.16004,-6.25917,171.25082,-3.25032,3.34947,0.59888,171.3943
6.842,3.03354,-6.30934,171.03743,-3.25108,3.35294,0.59373,171.18064
6.8633,2.98172,-6.21768,171.02528,-3.24917,3.35211,0.59733,171.16424
6.8847,2.95815,-6.23156,171.09578,-3.25545,3.34917,0.59247,171.23478
6.9057,2.93846,-6.07119,171.10909,-3.24846,3.35015,0.59152,171.24197
6.9274,3.03065,-6.25979,171.05284,-3.24954,3.351,0.59231,171.19417
6.9509,3.10487,-6.08512,171.3743,-3.25515,3.34911,0.59378,171.5104
6.9791,3.19574,-5.94843,171.12279,-3.25141,3.34453,0.58828,171.25596
7.0017,3.13743,-6.00923,171.09009,-3.25429,3.34702,0.58949,171.22433
7.0248,3.08804,-5.89486,171.08148,-3.24193,3.34871,0.58695,171.21086
7.0457,3.0635,-6.01948,171.19991,-3.25308,3.35691,0.5925,171.33309
7.0673,2.76996,-6.34493,171.44499,-3.25506,3.35187,0.58873,171.58472
7.088,2.97502,-6.47774,171.07016,-3.25545,3.34867,0.59649,171.21861
7.1102,3.0874,-6.21933,171.23515,-3.25746,3.35032,0.59328,171.37587
7.1311,2.91726,-6.0136,171.08536,-3.24463,3.35077,0.59076,171.21587
7.158,3.01425,-6.16044,171.22343,-3.25416,3.34876,0.59044,171.36073
7.1788,3.00605,-6.01028,171.37358,-3.24879,3.35053,0.59112,171.50529
7.1999,3.09636,-6.12984,171.06194,-3.25785,3.34585,0.5925,171.19973
7.2207,3.14943,-6.14395,171.23546,-3.24962,3.348,0.5957,171.37459
7.2427,3.06984,-6.14637,171.13438,-3.24914,3.34742,0.59209,171.27224
7.2658,3.06245,-6.23058,171.09329,-3.26255,3.3479,0.59006,171.23409
7.2889,2.98554,-6.2283,171.07408,-3.24977,3.34716,0.59542,171.21345
7.3096,2.85668,-6.1995,171.26294,-3.24815,3.35824,0.59093,171.39892
